('11', 24)
('10', 16)
('13', 15)
('12', 12)
('15', 13)
('14', 20)
('17', 26)
('16', 9)
('19', 19)
('18', 10)
('02', 16)
('03', 21)
('00', 14)
('01', 19)
('06', 1)
('07', 4)
('04', 16)
('05', 3)
('08', 3)
('09', 11)
('20', 21)
('21', 13)
('22', 19)
('23', 16)
No. of Days of Twitter Data Parsed 313
